node_id,entity_type,degree,betweenness,is_articulation_point
tt12544734,movie,6,1.5385525770755666e-06,False
tt4048584,movie,11,1.5385525770755666e-06,True
tt12535340,movie,7,1.5311556896857803e-06,False
tt12542981,movie,9,1.523758802295994e-06,False
tt12534252,movie,8,1.5237588022959937e-06,False
tt12537590,movie,8,1.5237588022959937e-06,False
tt12535341,movie,10,1.5237588022959937e-06,False
tt7217962,movie,13,1.5089650275164211e-06,False
tt1967616,movie,12,1.5089650275164211e-06,False
nm0006185,name,3,1.5089650275164211e-06,False
tt0796932,movie,10,1.5073022351559543e-06,True
tt12536929,movie,9,1.5057244863742288e-06,False
tt0057241,movie,13,1.5000887626486773e-06,False
nm1901381,name,3,1.4941712527368485e-06,False
tt12535443,movie,7,1.4941712527368483e-06,False
tt2091127,movie,13,1.4912124977809336e-06,True
tt0050282,movie,11,1.4852949878691044e-06,True
tt12540309,movie,9,1.4793774779572755e-06,False
tt12543570,movie,9,1.4793774779572755e-06,False
tt12538608,movie,7,1.4793774779572755e-06,False
tt0848569,movie,11,1.4719805905674892e-06,False
tt7651698,movie,11,1.4719805905674892e-06,True
tt12536443,movie,8,1.471395342334451e-06,False
tt0250341,movie,9,1.4645837031777028e-06,True
tt1107906,movie,10,1.4586661932658737e-06,True
tt12542143,movie,9,1.4545802935648488e-06,False
tt12543587,movie,5,1.44978992839813e-06,False
tt0071456,movie,11,1.44978992839813e-06,True
tt5635916,movie,12,1.44978992839813e-06,False
tt12533953,movie,8,1.44978992839813e-06,False
tt12531236,movie,9,1.4423930410083437e-06,False
tt12531474,movie,8,1.423161133794899e-06,False
tt12531853,movie,7,1.4202023788389846e-06,False
tt2719562,movie,11,1.4202023788389846e-06,True
tt4295226,movie,10,1.4202023788389846e-06,True
tt0289480,movie,13,1.4054086040594117e-06,True
tt0108622,movie,11,1.4054086040594117e-06,True
tt12537182,movie,8,1.3980117166696254e-06,False
tt7773250,movie,12,1.390614829279839e-06,True
tt12536799,movie,6,1.377934450897348e-06,False
nm0715748,name,3,1.3768777526988071e-06,False
nm0806041,name,4,1.3768777526988071e-06,False
tt0023465,movie,12,1.3758210545002665e-06,True
tt12541305,movie,7,1.3758210545002663e-06,False
tt3399368,movie,11,1.375821054500266e-06,True
tt1710621,movie,10,1.375821054500266e-06,True
tt12542146,movie,7,1.3699035445884371e-06,False
nm4261261,name,2,1.3639860346766082e-06,False
tt2056638,movie,11,1.3631406761177754e-06,True
tt0071449,movie,13,1.3610272797206935e-06,False
tt12542003,movie,6,1.3610272797206935e-06,False
tt12545821,movie,7,1.3610272797206935e-06,False
nm0534665,name,6,1.3573288360258e-06,False
tt6131392,movie,11,1.3491922598970353e-06,False
tt12533822,movie,7,1.3462335049411206e-06,False
tt12540787,movie,6,1.3431402611235738e-06,False
tt12541842,movie,7,1.3314397301615482e-06,False
tt1663660,movie,11,1.331439730161548e-06,True
tt4247856,movie,13,1.331439730161548e-06,True
tt0364182,movie,11,1.331439730161548e-06,True
tt12537456,movie,8,1.3255222202497186e-06,False
tt0173787,movie,10,1.3166459553819752e-06,True
tt7379228,movie,11,1.3166459553819752e-06,True
tt12531828,movie,7,1.3166459553819752e-06,False
nm0276253,name,2,1.3078094621381206e-06,False
tt0023398,movie,11,1.3069243319553987e-06,True
nm0108406,name,3,1.3062903130362742e-06,False
tt5950092,movie,11,1.3060789733965664e-06,False
tt12535747,movie,5,1.2988934256464879e-06,False
tt12537437,movie,7,1.295511991411157e-06,False
nm21964848,name,2,1.288346752575405e-06,False
tt0452323,movie,11,1.2870584058228297e-06,True
tt0314490,movie,7,1.2870584058228297e-06,True
tt0063241,movie,13,1.2870584058228297e-06,True
tt0386470,movie,11,1.2837902653868095e-06,False
tt12535459,movie,7,1.2828316130286657e-06,False
nm0407953,name,4,1.2809424608939371e-06,True
tt12543824,movie,7,1.2783509588054234e-06,False
tt12534495,movie,6,1.2722646310432571e-06,False
tt0075922,movie,13,1.272264631043257e-06,False
tt12534405,movie,9,1.272264631043257e-06,False
tt12537996,movie,8,1.272264631043257e-06,False
tt12536340,movie,9,1.272264631043257e-06,False
tt10011176,movie,13,1.266347121131428e-06,True
tt12535746,movie,7,1.2633883661755133e-06,False
tt2907124,movie,11,1.260852290499015e-06,True
tt12533505,movie,8,1.2589502337416416e-06,False
tt12543586,movie,8,1.2574708562636843e-06,False
tt12541124,movie,9,1.2574708562636843e-06,False
tt12532321,movie,8,1.257470856263684e-06,False
tt12541592,movie,8,1.2515533463518553e-06,False
tt12536101,movie,10,1.2485945913959406e-06,False
tt2268019,movie,11,1.2426770814841115e-06,False
tt1844092,movie,11,1.2426770814841115e-06,True
tt12534575,movie,9,1.2426770814841115e-06,False
tt0407961,movie,9,1.2426770814841115e-06,True
tt0086973,movie,11,1.2426770814841115e-06,False
tt1847750,movie,11,1.2426770814841115e-06,True
tt9092600,movie,10,1.2426770814841115e-06,False
tt4054468,movie,9,1.2426770814841113e-06,True
tt12531863,movie,6,1.2363368922928658e-06,False
tt12545975,movie,5,1.2308420616604533e-06,False
tt12537089,movie,8,1.2308420616604531e-06,False
tt12539504,movie,6,1.2291124191236624e-06,False
tt3686948,movie,11,1.2278833067045386e-06,True
tt0804223,movie,11,1.2278833067045386e-06,True
tt3553312,movie,12,1.2278833067045386e-06,True
tt12536927,movie,8,1.218795702197087e-06,False
tt1637609,movie,10,1.2160482868808805e-06,True
tt0265743,movie,12,1.213089531924966e-06,True
tt7388830,movie,11,1.213089531924966e-06,True
tt12539152,movie,10,1.2101307769690515e-06,False
tt0378450,movie,11,1.2091445253170796e-06,True
tt0920455,movie,11,1.2056926445351797e-06,True
tt12543704,movie,11,1.2042132670572224e-06,False
tt12543467,movie,6,1.199495252397791e-06,False
tt0457223,movie,8,1.1982957571453932e-06,True
tt12532226,movie,7,1.1894194922776495e-06,False
tt0029768,movie,11,1.1835019823658204e-06,True
tt12542324,movie,7,1.1835019823658204e-06,False
tt0298530,movie,11,1.176105094976034e-06,True
tt0387937,movie,11,1.1716669625421622e-06,True
tt0205948,movie,12,1.1687082075862478e-06,True
tt0076210,movie,11,1.1687082075862478e-06,True
tt12100536,movie,10,1.1687082075862478e-06,True
tt12532165,movie,10,1.1687082075862478e-06,False
tt2099698,movie,11,1.1657494526303333e-06,True
nm0080445,name,4,1.1627906976744188e-06,False
tt12540397,movie,8,1.1623680183950023e-06,False
tt8881102,movie,11,1.1550695023089837e-06,True
tt0332364,movie,11,1.153914432806675e-06,True
tt0062646,movie,10,1.153914432806675e-06,True
tt12539666,movie,10,1.153914432806675e-06,False
tt1575622,movie,11,1.153914432806675e-06,True
tt4296800,movie,11,1.153914432806675e-06,True
nm0001016,name,3,1.153914432806675e-06,True
tt7252092,movie,11,1.153914432806675e-06,True
tt0055630,movie,12,1.153914432806675e-06,True
tt4575154,movie,11,1.153914432806675e-06,True
tt2148964,movie,12,1.153914432806675e-06,True
tt12542785,movie,8,1.153914432806675e-06,False
tt0165972,movie,12,1.153914432806675e-06,True
tt0448136,movie,11,1.1539144328066747e-06,True
tt0977673,movie,11,1.143558790460974e-06,True
tt0372046,movie,12,1.1402609189460481e-06,True
tt2180561,movie,11,1.139120658027102e-06,False
tt12536309,movie,8,1.135153236608944e-06,False
tt12536863,movie,9,1.1332031481152731e-06,False
tt3554298,movie,11,1.1285536760416928e-06,True
nm0604558,name,3,1.1243268832475295e-06,False
tt2305139,movie,13,1.1243268832475295e-06,True
tt1588349,movie,10,1.1243268832475295e-06,False
tt12535748,movie,7,1.1184093733357005e-06,False
nm3462041,name,3,1.1169299958577432e-06,False
tt12532006,movie,4,1.1169299958577432e-06,False
tt12534909,movie,7,1.1106437522201768e-06,False
tt1545323,movie,10,1.1106437522201768e-06,True
tt12539069,movie,6,1.1106437522201766e-06,False
tt12538248,movie,8,1.1095331084679566e-06,False
tt0457121,movie,11,1.1095331084679566e-06,True
tt3740066,movie,13,1.1095331084679566e-06,False
tt12531159,movie,9,1.1095331084679566e-06,False
tt2609324,movie,8,1.1095331084679566e-06,True
tt1010401,movie,10,1.1021362210781703e-06,True
tt12542147,movie,6,1.095835168857241e-06,False
tt12534923,movie,8,1.0947393336883838e-06,False
tt9168706,movie,11,1.0947393336883838e-06,True
tt12532966,movie,6,1.0885752608635618e-06,False
tt0800080,movie,11,1.0858630688206404e-06,True
tt12532059,movie,6,1.0858630688206402e-06,False
nm0461918,name,3,1.0814249363867685e-06,False
tt12535620,movie,6,1.0810265854943054e-06,False
tt0202181,movie,12,1.0799455589088112e-06,False
tt12531230,movie,6,1.0799455589088112e-06,False
tt2836540,movie,11,1.0799455589088112e-06,True
tt3740292,movie,10,1.0799455589088112e-06,True
tt12533403,movie,9,1.079945558908811e-06,False
tt12540786,movie,6,1.0780648688217182e-06,False
tt12540974,movie,5,1.0736222938128374e-06,False
tt2564196,movie,8,1.0662180021313697e-06,True
tt2173450,movie,6,1.0651517841292384e-06,True
tt6355698,movie,12,1.0651517841292384e-06,True
tt0441517,movie,10,1.0651517841292384e-06,False
nm0004767,name,4,1.0651517841292384e-06,True
tt1545097,movie,11,1.0651517841292384e-06,True
tt4134634,movie,11,1.0651517841292384e-06,True
tt4327728,movie,10,1.0651517841292384e-06,True
tt12543568,movie,10,1.0621930291733237e-06,False
tt12534925,movie,8,1.0621930291733237e-06,False
tt12541796,movie,7,1.0529677336884865e-06,False
tt12531611,movie,8,1.0503580093496658e-06,False
tt1636495,movie,8,1.0503580093496655e-06,True
tt12541359,movie,5,1.0488786318717084e-06,False
nm21958043,name,3,1.0366008354054983e-06,False
tt2339956,movie,12,1.0355642345700927e-06,True
tt3042946,movie,11,1.0281673471803064e-06,True
tt12536622,movie,12,1.0281673471803064e-06,False
tt12543817,movie,6,1.0281673471803064e-06,False
tt12541065,movie,9,1.0281673471803064e-06,False
nm0949344,name,4,1.0218271579890612e-06,False
nm0100615,name,3,1.0218271579890612e-06,False
nm0117136,name,4,1.0218271579890612e-06,False
tt0277359,movie,11,1.0217922520425627e-06,True
tt12545605,movie,8,1.0217922520425627e-06,False
tt0454426,movie,7,1.02077045979052e-06,True
tt12542760,movie,6,1.02077045979052e-06,False
tt12542686,movie,8,1.02077045979052e-06,False
tt7166310,movie,11,1.02077045979052e-06,True
tt12540308,movie,6,1.02077045979052e-06,False
tt0074004,movie,12,1.02077045979052e-06,True
tt2330549,movie,11,1.02077045979052e-06,True
tt0028584,movie,11,1.0133735724007338e-06,True
tt0008915,movie,12,1.006983668679627e-06,True
tt12536038,movie,7,1.0059766850109473e-06,False
tt9747450,movie,11,1.0059766850109473e-06,True
tt12538664,movie,5,1.0015385525770754e-06,False
tt0311234,movie,11,9.98579797621161e-07,True
tt12542937,movie,10,9.971004201432038e-07,False
tt3063268,movie,11,9.961141684912321e-07,True
tt12538606,movie,9,9.911829102313747e-07,True
tt0045066,movie,11,9.911829102313747e-07,True
tt2543828,movie,11,9.911829102313747e-07,True
tt12537291,movie,7,9.867447777975028e-07,False
tt12542144,movie,5,9.851245072264068e-07,False
